"","CCL2","MPO","ERBB2","CDH5","KDR","IRS1","FLT1","FGFR3","EGFR","group"
"Sample_487_CM",16.4194457383773,0,17.3986901242886,8.53838116151482,10.7052849879849,17.1574724439115,15.8187663408066,11.5793612809281,19.0169281924392,0
"Sample_511_CM",16.7002530823535,9.25965160851371,17.5853662546987,11.5262740821044,13.4984288070729,16.7062705322471,12.5662866365968,9.60707047044586,19.1154208959492,0
"Sample_620_CM",16.0232431036181,6.99021990764922,18.020662986433,11.5184779928872,12.2175350147189,17.6134187102581,11.2831870774669,10.6521494587569,18.7956141720426,0
"Sample_324_DF",16.9013223439565,9.348129493085,17.5089756406219,8.42412097693959,12.7635300474982,17.3396806242331,17.6535414077232,10.0062806785325,18.2421715308561,1
"Sample_338_DF",17.8911831531315,9.21702411145895,17.184798024761,11.0585489223252,12.6031003308167,16.5544628348358,15.5555251309865,8.71553351329638,18.7928071912693,1
"Sample_566_DF",18.3339345875249,8.31264323434476,17.1989803813217,13.2103243598883,11.7679439165067,16.6713710773583,13.714198263486,9.94183435948906,18.5621860595899,1
"Sample_252_DM",16.8976789892359,10.8365747766569,17.0952521539288,10.3862026143219,12.192787335701,17.2318776141317,15.1630215668774,8.06858006106279,19.0403594472752,1
"Sample_323_DM",16.2059481413967,9.48684198488743,17.5959728196963,11.774748282369,11.8851419330729,17.7962061089522,10.6377387609564,9.12484628117626,18.898108141568,1
"Sample_763_DM",17.1036591997071,9.29573172457933,17.194646120915,8.29802541698875,14.8100601292609,17.4843643303128,17.8892158086211,9.87992885007771,17.9454883291166,1
"GSM4669895",13.6462788762867,18.401058020405,13.6462788762867,14.6462226144714,17.8940997865362,17.4535293103695,16.4535373481747,13.6462788762867,16.2311476060967,0
"GSM4669896",14.7124537882514,16.9603388760276,17.1718414384463,16.0343496397453,16.712413483897,17.5703884564382,17.9218592242512,16.1718512093271,12.7126149944101,0
"GSM4669897",17.6585570479269,18.7174471110199,14.0736712480825,16.8809544499636,16.3955324042494,16.3955324042494,14.0736712480825,14.0736712480825,14.0736712480825,0
"GSM4669898",13.0010072298206,17.6155482598911,14.8082364411696,17.2487680087959,17.4271041728957,17.7287583281505,15.8082112977134,13.0010072298206,17.1707660114369,0
"GSM4669899",12.0864103000858,13.0862444187704,16.9929801746079,14.0861614709598,19.2153639054647,15.4080397948715,17.256012737011,12.0864103000858,14.6710963213509,0
"GSM4669900",15.7483729539903,15.9707616312527,16.8638360590807,18.9447468172283,14.748399162236,16.9707503989725,14.1634628692845,16.1634039011333,13.163541489737,0
"GSM4669901",13.163541489737,14.1634628692845,16.9707503989725,13.163541489737,14.1634628692845,15.7483729539903,13.163541489737,19.503236188835,13.163541489737,0
"GSM4669902",16.5623496674302,17.7549863597699,15.8704811367293,16.7549928819095,17.8138797879373,16.7549928819095,17.2993092985062,12.1703303677409,12.1703303677409,0
"GSM4669903",14.3243085852435,17.9389538410158,14.6462226144714,12.3245195536819,18.1056030840998,17.4941710715939,16.7836826616794,16.4941788861285,14.6462226144714,0
"GSM4669904",14.4397803928107,18.1766859362483,13.8548503509021,15.4397479332677,17.0246887938879,15.4397479332677,18.4397195305686,15.662135717467,15.176720019401,0
"GSM4669905",12.1181119479786,18.3466103966816,16.1178076658635,17.3657234337987,16.024699613979,17.6413563908074,16.8726869026792,12.1181119479786,14.702803978878,0
"GSM4669906",11.7620590042337,18.4198591644513,15.4621152469129,13.3467445606794,16.0095929493793,16.8491186295561,18.5818262072496,11.7620590042337,13.3467445606794,0
"GSM4669907",16.6096549013151,17.403197920186,16.024699613979,15.0247212539177,18.8726778858821,15.0247212539177,16.51012025825,12.7029662668557,13.702858076899,0
"GSM4669908",15.1869335574713,18.8552764310156,14.4950796538251,16.0425263451952,16.522513236958,15.7946028394365,17.2703200144434,15.7487999685964,15.0425477193862,0
"GSM4669909",12.9544704139483,16.8122821774198,15.1242540421622,14.1242944359268,15.8122947137788,19.3508955846256,16.1637616631653,14.413786364611,10.9550155809526,0
"GSM4669910",11.2846885476182,16.3715899993343,16.6060527007019,15.8690967484187,17.2383157842052,16.2383251150939,18.9635930644242,12.8692654709405,11.2846885476182,0
"GSM4669911",15.2272084502448,17.609647687894,16.3267240638482,17.2011852032986,16.7052316365018,17.7773743419129,16.9433893190399,12.4200791833793,16.0048003570982,0
"GSM4669912",11.4685533775372,15.9916282941727,16.5973417635346,17.1959742594776,16.7534594730959,17.490419844004,18.4567328928302,13.790074141615,13.790074141615,0
"GSM4669913",15.4659368733136,19.1610528765129,14.9805227964815,16.4486431358268,14.8285246614708,16.1180019785791,16.4998678965007,14.8285246614708,14.5972077386879,0
"GSM4669914",14.2877845124982,14.8727229693038,13.2878566418405,13.2878566418405,16.8726869026792,18.8423043007877,16.7471571135366,17.7471505558766,13.2878566418405,0
"GSM4669915",14.5393117384647,18.9655187195327,13.5393723278393,13.5393723278393,13.5393723278393,14.5393117384647,15.5392814428232,18.3466103966816,14.5393117384647,0
"GSM4669916",10.9127264054568,18.3877154784363,14.2339808097833,14.4970027368987,16.9780782068842,16.1599250584523,17.5844105236909,15.3043309184819,17.4038392568134,0
"GSM4669917",11.6236868010406,18.4935981676033,15.6232581222971,15.2082301505965,16.7931672443025,18.0826663547937,16.4306007945188,14.6232867048432,15.082702733071,0
"GSM4669918",12.7321082850727,16.7319094791876,12.7321082850727,17.1913374829189,18.3168631434558,17.9986882736442,16.2554766218331,14.7319492425564,15.0538667339859,0
"GSM4669919",13.4318532402345,15.8911780395741,15.8911780395741,15.431755322847,17.7536573053086,18.8911572682366,16.3386306862646,14.0167722229372,14.0167722229372,0
"GSM4669920",13.8548503509021,16.9422272701741,16.4397317032224,15.4397479332677,15.176720019401,17.4986169525803,18.854756015455,14.4397803928107,12.8549477229585,0
"GSM4669921",11.3852135765078,18.3504627106357,13.9697265353459,17.6134999941538,16.5546140987995,16.5941420579092,16.7422392741884,14.5546590616271,16.8441179909296,0
"GSM4669922",15.0127489729145,17.5045661868517,15.182669125437,16.100188710342,17.5362748779171,17.7675992996097,17.8456014713276,14.0127926124593,13.0128798875891,0
"GSM4669923",17.2858610659743,18.2505235905668,15.5016118263373,15.3316907120676,14.3317256961498,17.6715126406925,16.8235212626503,15.8552420206269,15.1390506319032,0
"GSM4669924",15.2423066298402,16.3797898513172,17.6207881900112,12.9205274095583,18.564201225824,16.3797898513172,17.0078151026192,15.7277228225222,12.9205274095583,0
"GSM4669925",12.8232431907256,18.630402589812,16.4080232041647,16.4080232041647,15.8230689988208,14.8230938846664,17.5234914880481,13.8231436550696,16.910518665038,0
"GSM4669926",13.1902559430343,18.399559120664,15.5120605511539,13.1902559430343,18.2345003801033,16.1901208788402,15.1901401744992,13.1902559430343,17.2775735046371,0
"GSM4669927",12.6744014420885,18.7185781904155,17.0665086604359,12.6744014420885,15.4815671815361,12.6744014420885,17.803470050201,12.6744014420885,16.9961198580937,0
"GSM4669928",18.7024379521603,17.7259001979299,16.472152820245,16.6786015817815,15.356694117089,12.7719035231872,16.472152820245,12.7719035231872,13.7718003815537,0
"GSM4669929",18.1992691459905,14.2451423390224,16.415009554332,15.24510519106,16.24508661672,13.2452166320779,17.7686364589483,16.5670109967107,17.1519685442214,0
"GSM4669930",17.2686126936414,17.3840892082142,14.6836958772505,16.6836547614184,16.6836547614184,17.5905389611255,17.6836479086658,13.6837506965374,13.6837506965374,0
"GSM4669931",13.5308110356226,17.6599791161262,15.3380788854594,16.3380614703846,17.4375878558097,17.9230123609391,17.1745550754022,12.5309329279038,16.2311476060967,0
"GSM4669932",12.6556677644527,16.7429201592245,15.8253940116929,16.3559010834524,14.9774169817904,18.3558881825256,18.081714119155,13.6555559685832,16.3559010834524,0
"GSM4669933",17.2979411750352,17.2104788933561,16.117380269993,17.2548727244506,17.6699079176162,16.2979501281476,16.965368157131,14.5324583559505,14.2105454807733,0
"GSM4669934",15.3168940708045,16.0538455268364,17.5392587206745,17.1913374829189,16.6388009584385,15.0538667339859,18.2237540336136,14.3169294155341,16.4323522560883,0
"GSM4669935",12.7922206225864,18.5993757714784,16.3769966692137,12.7922206225864,18.0399500835169,12.7922206225864,17.376988193455,15.3770136205816,13.7921189233407,0
"GSM4669936",15.2127883123374,18.3826795445232,17.3647619632561,14.8502290871888,16.9008181058062,15.8502046650428,16.7432781892273,15.3647876067806,16.4351590249568,0
"GSM4669937",11.3813626931671,17.9199864123559,14.702803978878,17.609647687894,17.3115679905034,14.1882539911627,17.7902190848957,13.3809570302614,16.6662378748042,0
"GSM4669938",13.8982400612173,19.237997903917,16.2200925618553,16.0136445919323,17.0945530892652,13.3133248048906,15.9570619358281,11.3137499348344,12.8983345484591,0
"GSM4669939",15.8753243506771,17.9077276943177,16.8081987258209,15.7378232270052,16.8753123502272,16.4158852317703,17.3227681270616,16.7378100265267,15.4159017323117,1
"GSM4669940",13.8127277604219,18.4708429503294,16.1345756448097,15.7195448299095,17.4850607026531,14.1346358031024,17.6706154066982,15.5130980658905,15.2720955756155,1
"GSM4669941",13.8336353075894,18.3253939748915,17.7877391725177,14.8335858978226,16.292986073,16.833548839387,14.8335858978226,16.7404402585267,16.0034834486633,1
"GSM4669942",13.3618500105124,17.7879840903803,17.3159181136774,16.2686218306232,17.4061153867538,16.4491919263922,15.946698304205,16.6836547614184,16.4491919263922,1
"GSM4669943",16.8081987258209,18.1135364514611,16.0364766058195,17.0187640044581,16.8687397511005,15.7233239239851,16.7450054622566,16.2335107127699,15.3227945279782,1
